"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"01/01/2009","70","PM2.5","Truckee-Fire Station","06-057-1001","AQS","34","70","14"
"01/02/2009","26","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","26",".","6"
"01/03/2009","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32",".","5"
"01/04/2009","43","PM2.5","Truckee-Fire Station","06-057-1001","AQS","33","43","10"
"01/05/2009","24","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","24",".","8"
"01/06/2009","26","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","26",".","11"
"01/07/2009","20","PM2.5","Grass Valley-Litton Building","06-057-0005","AQS","20","20","14"
"01/08/2009","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","8"
"01/09/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","4"
"01/10/2009","49","PM2.5","Truckee-Fire Station","06-057-1001","AQS","44","49","7"
"01/11/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","3"
"01/12/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","5"
"01/13/2009","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46","43","24"
"01/14/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","23"
"01/15/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","8"
"01/16/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40","33","12"
"01/17/2009","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","7"
"01/18/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","8"
"01/19/2009","44","PM2.5","Truckee-Fire Station","06-057-1001","AQS","39","44","11"
"01/20/2009","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38",".","22"
"01/21/2009","36","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","36",".","."
"01/22/2009","39","PM2.5","Truckee-Fire Station","06-057-1001","AQS","28","39","."
"01/24/2009","26","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","26",".","."
"01/25/2009","27","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","27","15","."
"01/26/2009","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","."
"01/27/2009","36","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","36",".","."
"01/28/2009","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38","36","."
"01/29/2009","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37",".","."
"01/30/2009","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37",".","."
"01/31/2009","36","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","36","35","."
"02/01/2009","34","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","34",".","."
"02/02/2009","34","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","34",".","."
"02/03/2009","35","PM2.5","Truckee-Fire Station","06-057-1001","AQS","35","35","."
"02/04/2009","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","."
"02/05/2009","30","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","30",".","."
"02/06/2009","29","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","29","27","."
"02/07/2009","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37",".","."
