"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2010","81","PM2.5","Redwood City","06-081-1001","AQS",".","10","81","28"
"01/02/2010","63","PM2.5","Redwood City","06-081-1001","AQS","15","12","63","23"
"01/03/2010","60","PM2.5","Redwood City","06-081-1001","AQS","13","16","60","24"
"01/04/2010","87","PM2.5","Redwood City","06-081-1001","AQS","15","8","87","24"
"01/05/2010","85","PM2.5","Redwood City","06-081-1001","AQS","16","5","85","25"
"01/06/2010","88","PM2.5","Redwood City","06-081-1001","AQS","19","3","88","29"
"01/07/2010","103","PM2.5","Redwood City","06-081-1001","AQS","18","2","103","27"
"01/08/2010","94","PM2.5","Redwood City","06-081-1001","AQS","17","2","94","21"
"01/09/2010","72","PM2.5","Redwood City","06-081-1001","AQS","17","3","72","21"
"01/10/2010","74","PM2.5","Redwood City","06-081-1001","AQS","17","4","74","22"
"01/11/2010","78","PM2.5","Redwood City","06-081-1001","AQS","19","13","78","24"
"01/12/2010","32","Ozone","Redwood City","06-081-1001","AQS","17","32","25","20"
"01/13/2010","34","PM2.5","Redwood City","06-081-1001","AQS","5","31","34","26"
"01/14/2010","41","PM2.5","Redwood City","06-081-1001","AQS","16","14","41","34"
"01/15/2010","66","PM2.5","Redwood City","06-081-1001","AQS","14","3","66","30"
"01/16/2010","68","PM2.5","Redwood City","06-081-1001","AQS","15","21","68","29"
"01/17/2010","34","Ozone","Redwood City","06-081-1001","AQS","5","34","12","13"
"01/18/2010","35","Ozone","Redwood City","06-081-1001","AQS","3","35","20","10"
"01/19/2010","36","Ozone","Redwood City","06-081-1001","AQS","3","36","23","12"
"01/20/2010","37","Ozone","Redwood City","06-081-1001","AQS","3","37","16","17"
"01/21/2010","37","NO2","Redwood City","06-081-1001","AQS","7","23","21","37"
"01/22/2010","34","NO2","Redwood City","06-081-1001","AQS","8","26","26","34"
"01/23/2010","30","PM2.5","Redwood City","06-081-1001","AQS","8","27","30","26"
"01/24/2010","40","PM2.5","Redwood City","06-081-1001","AQS","8","19","40","31"
