"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/04/2012","32","PM2.5","","06-003-1001","AQS","32"
"01/10/2012","45","PM2.5","","06-003-1001","AQS","45"
"01/17/2012","45","PM2.5","","06-003-1001","AQS","45"
"01/24/2012","35","PM2.5","","06-003-1001","AQS","35"
"01/27/2012","32","PM2.5","","06-003-1001","AQS","32"
"02/03/2012","33","PM2.5","","06-003-1001","AQS","33"
"02/08/2012","19","PM2.5","","06-003-1001","AQS","19"
"02/15/2012","48","PM2.5","","06-003-1001","AQS","48"
"02/21/2012","19","PM2.5","","06-003-1001","AQS","19"
"02/27/2012","54","PM2.5","","06-003-1001","AQS","54"
"03/05/2012","111","PM2.5","","06-003-1001","AQS","111"
"03/10/2012","1","PM2.5","","06-003-1001","AQS","1"
"03/22/2012","23","PM2.5","","06-003-1001","AQS","23"
"04/03/2012","37","PM2.5","","06-003-1001","AQS","37"
"04/09/2012","5","PM2.5","","06-003-1001","AQS","5"
"04/21/2012","23","PM2.5","","06-003-1001","AQS","23"
"04/27/2012","30","PM2.5","","06-003-1001","AQS","30"
"05/03/2012","58","PM2.5","","06-003-1001","AQS","58"
"05/09/2012","38","PM2.5","","06-003-1001","AQS","38"
"05/15/2012","63","PM2.5","","06-003-1001","AQS","63"
"05/21/2012","38","PM2.5","","06-003-1001","AQS","38"
"06/20/2012","71","PM2.5","","06-003-1001","AQS","71"
"07/02/2012","47","PM2.5","","06-003-1001","AQS","47"
"07/16/2012","58","PM2.5","","06-003-1001","AQS","58"
