"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","116","PM2.5","Turlock","06-099-0006","AQS","7","16",".","116","25"
"01/02/2012","120","PM2.5","Turlock","06-099-0006","AQS","11","8",".","120","24"
"01/03/2012","102","PM2.5","Turlock","06-099-0006","AQS","15","11",".","102","33"
"01/04/2012","143","PM2.5","Turlock","06-099-0006","AQS","16","10","54","143","41"
"01/05/2012","120","PM2.5","Turlock","06-099-0006","AQS","18","13",".","120","34"
"01/06/2012","75","PM2.5","Turlock","06-099-0006","AQS","10","19",".","75","30"
"01/07/2012","35","PM2.5","Turlock","06-099-0006","AQS","5","26",".","35","."
"01/08/2012","137","PM2.5","Turlock","06-099-0006","AQS","10","24",".","137","29"
"01/09/2012","155","PM2.5","Modesto-14th Street","06-099-0005","AQS","13","13",".","155","38"
"01/10/2012","125","PM2.5","Turlock","06-099-0006","AQS","23","17","56","125","42"
"01/11/2012","97","PM2.5","Modesto-14th Street","06-099-0005","AQS","19","18",".","97","35"
"01/12/2012","106","PM2.5","Turlock","06-099-0006","AQS","20","16",".","106","42"
"01/13/2012","132","PM2.5","Modesto-14th Street","06-099-0005","AQS","14",".",".","132","43"
"01/14/2012","152","PM2.5","Modesto-14th Street","06-099-0005","AQS","24","19",".","152","42"
"01/15/2012","103","PM2.5","Turlock","06-099-0006","AQS","18","29",".","103","."
"01/16/2012","48","PM2.5","Turlock","06-099-0006","AQS","8","26","20","48","."
"01/17/2012","90","PM2.5","Turlock","06-099-0006","AQS","13","21",".","90","39"
"01/18/2012","94","PM2.5","Modesto-14th Street","06-099-0005","AQS","16","20",".","94","40"
"01/19/2012","117","PM2.5","Turlock","06-099-0006","AQS","18","8",".","117","35"
"01/20/2012","93","PM2.5","Turlock","06-099-0006","AQS","8","21",".","93","."
"01/21/2012","48","PM2.5","Modesto-14th Street","06-099-0005","AQS","8","31",".","48","."
"01/22/2012","55","PM2.5","Modesto-14th Street","06-099-0005","AQS","9","26","14","55","."
"01/23/2012","29","PM2.5","Modesto-14th Street","06-099-0005","AQS","5","21",".","29","."
"01/24/2012","58","PM2.5","Turlock","06-099-0006","AQS","7","11",".","58","23"
"01/25/2012","89","PM2.5","Turlock","06-099-0006","AQS","13","11",".","89","23"
"01/26/2012","101","PM2.5","Turlock","06-099-0006","AQS","14","13",".","101","15"
"01/27/2012","48","PM2.5","Turlock","06-099-0006","AQS","7","22",".","48","."
"01/28/2012","76","PM2.5","Turlock","06-099-0006","AQS","10","20","21","76","."
"01/29/2012","106","PM2.5","Turlock","06-099-0006","AQS","11","19",".","106","32"
"01/30/2012","106","PM2.5","Modesto-14th Street","06-099-0005","AQS","15","13",".","106","24"
"01/31/2012","83","PM2.5","Turlock","06-099-0006","AQS","7","19",".","83","21"
"02/01/2012","64","PM2.5","Turlock","06-099-0006","AQS","5","25",".","64","24"
"02/02/2012","54","PM2.5","Turlock","06-099-0006","AQS","6","19",".","54","21"
"02/03/2012","97","PM2.5","Modesto-14th Street","06-099-0005","AQS","9","17","31","97","32"
"02/04/2012","114","PM2.5","Turlock","06-099-0006","AQS","10","24",".","114","34"
"02/05/2012","79","PM2.5","Turlock","06-099-0006","AQS","11","30",".","79","35"
"02/06/2012","63","PM2.5","Modesto-14th Street","06-099-0005","AQS","13","25",".","63","25"
"02/07/2012","54","PM2.5","Turlock","06-099-0006","AQS","7","32",".","54","30"
"02/08/2012","59","PM2.5","Turlock","06-099-0006","AQS","7","25",".","59","29"
"02/09/2012","84","PM2.5","Modesto-14th Street","06-099-0005","AQS","10","26","30","84","39"
"02/10/2012","85","PM2.5","Modesto-14th Street","06-099-0005","AQS","10","31",".","85","17"
"02/11/2012","30","Ozone","Modesto-14th Street","06-099-0005","AQS","3","30",".","28","."
"02/12/2012","36","PM2.5","Turlock","06-099-0006","AQS","3","29",".","36","."
"02/13/2012","37","PM2.5","Modesto-14th Street","06-099-0005","AQS","7","29",".","37","."
"02/14/2012","58","PM2.5","Turlock","06-099-0006","AQS","7","21",".","58","27"
"02/15/2012","30","Ozone","Turlock","06-099-0006","AQS","3","30","7","17","."
"02/16/2012","37","PM2.5","Turlock","06-099-0006","AQS","8",".",".","37","30"
"02/17/2012","72","PM2.5","Turlock","06-099-0006","AQS","8","30",".","72","35"
"02/18/2012","57","PM2.5","Turlock","06-099-0006","AQS","8","30",".","57","."
