"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2013","33","PM2.5","Hollister","06-069-0002","AQS","30","12","33"
"01/02/2013","31","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","31","12","25"
"01/03/2013","31","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","31","12","24"
"01/04/2013","57","PM2.5","Hollister","06-069-0002","AQS","32","20","57"
"01/05/2013","39","PM2.5","Hollister","06-069-0002","AQS","36","14","39"
"01/06/2013","35","Ozone","Hollister","06-069-0002","AQS","35","8","25"
"01/07/2013","30","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","30","13","28"
"01/08/2013","36","PM2.5","Hollister","06-069-0002","AQS","31","11","36"
"01/09/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","19","20"
"01/10/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","11","16"
"01/11/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","11","19"
"01/12/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","8","20"
"01/13/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","8","17"
"01/14/2013","36","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","36","6","11"
"01/15/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","10","24"
"01/16/2013","35","PM2.5","Hollister","06-069-0002","AQS","34","13","35"
"01/17/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","12","28"
"01/18/2013","39","PM2.5","Hollister","06-069-0002","AQS","34","16","39"
"01/19/2013","36","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","36",".","20"
"01/20/2013","51","PM2.5","Hollister","06-069-0002","AQS","34","18","51"
"01/21/2013","33","PM2.5","Hollister","06-069-0002","AQS","33","14","33"
"01/22/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","14","23"
"01/23/2013","44","PM2.5","Hollister","06-069-0002","AQS","29","19","44"
"01/24/2013","59","PM2.5","Hollister","06-069-0002","AQS","19","19","59"
"01/25/2013","40","PM2.5","Hollister","06-069-0002","AQS","21","12","40"
"01/26/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","12","25"
"01/27/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","9","10"
"01/28/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","10","15"
"01/29/2013","32","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","32","12","21"
"01/30/2013","29","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","29","10","16"
"01/31/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","11","27"
"02/01/2013","35","PM2.5","Hollister","06-069-0002","AQS","34","14","35"
"02/02/2013","68","PM2.5","Hollister","06-069-0002","AQS","22","25","68"
"02/03/2013","57","PM2.5","Hollister","06-069-0002","AQS","32","22","57"
"02/04/2013","38","PM2.5","Hollister","06-069-0002","AQS","31","19","38"
"02/05/2013","48","PM2.5","Hollister","06-069-0002","AQS","31","17","48"
"02/06/2013","34","Ozone","Hollister","06-069-0002","AQS","34","13","11"
"02/07/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","11","18"
"02/08/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","6","15"
"02/09/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","8","16"
"02/10/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","11","21"
"02/11/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","10","25"
"02/12/2013","41","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","41","12","21"
"02/13/2013","42","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","42","19","39"
"02/14/2013","44","PM2.5","Hollister","06-069-0002","AQS","41","18","44"
"02/15/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","13","23"
"02/16/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","13","28"
"02/17/2013","45","PM2.5","Hollister","06-069-0002","AQS","35","18","45"
