"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2013","62","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","62"
"01/02/2013","73","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","73"
"01/03/2013","84","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","84"
"01/04/2013","82","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","21","82"
"01/05/2013","97","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","97"
"01/06/2013","80","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","80"
"01/07/2013","87","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","87"
"01/08/2013","67","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","67"
"01/09/2013","37","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","37"
"01/10/2013","33","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","33"
"01/11/2013","62","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","62"
"01/12/2013","97","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","97"
"01/13/2013","91","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","91"
"01/14/2013","100","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","100"
"01/15/2013","113","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","113"
"01/16/2013","117","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","36","117"
"01/17/2013","125","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","125"
"01/18/2013","108","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","108"
"01/19/2013","96","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","96"
"01/20/2013","100","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","100"
"01/21/2013","101","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","101"
"01/22/2013","125","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","48","125"
"01/23/2013","143","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","143"
"01/24/2013","106","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","106"
"01/25/2013","116","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","116"
"01/26/2013","60","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","60"
"01/27/2013","69","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","69"
"01/28/2013","34","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","34"
"01/29/2013","80","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","80"
"01/30/2013","107","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","107"
"01/31/2013","91","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","91"
"02/01/2013","116","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","116"
"02/02/2013","104","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","104"
"02/03/2013","92","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","23","92"
"02/04/2013","97","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","97"
"02/05/2013","86","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","86"
"02/06/2013","91","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","91"
"02/07/2013","86","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","86"
"02/08/2013","81","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","81"
"02/09/2013","106","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","28","106"
"02/10/2013","105","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","105"
"02/11/2013","106","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","106"
"02/12/2013","99","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","99"
"02/13/2013","115","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","115"
"02/15/2013","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"02/18/2013","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"02/21/2013","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"02/24/2013","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"02/27/2013","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"02/28/2013","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","."
"03/02/2013","87","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","23","87"
"03/03/2013","73","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","73"
"03/04/2013","74","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","74"
"03/05/2013","84","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","26","84"
"03/06/2013","58","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","58"
"03/07/2013","75","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","75"
"03/08/2013","71","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","71"
"03/09/2013","88","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","88"
"03/10/2013","80","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","80"
