"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2014","101","PM2.5","Atascadero (original site)","06-079-8001","AQS","51","0","47","101","36"
"01/02/2014","79","PM2.5","Atascadero (original site)","06-079-8001","AQS","67","3","53","79","44"
"01/03/2014","73","PM2.5","Atascadero (original site)","06-079-8001","AQS","71","3","58","73","42"
"01/04/2014","91","PM2.5","Atascadero (original site)","06-079-8001","AQS","44","0","56","91","38"
"01/05/2014","105","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","1","59","105","41"
"01/06/2014","66","PM2.5","Atascadero (original site)","06-079-8001","AQS","48","0","55","66","42"
"01/07/2014","59","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","45","59","35"
"01/08/2014","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","0","62","67","24"
"01/09/2014","64","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","1","53","64","14"
"01/10/2014","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","1","44","60","25"
"01/11/2014","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","0","42","55","26"
"01/12/2014","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","33","41","8"
"01/13/2014","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","44","53","15"
"01/14/2014","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","4","43","54","19"
"01/15/2014","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","1","49","58","34"
"01/16/2014","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","54","1","52","58","40"
"01/17/2014","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","0","52","58","35"
"01/18/2014","64","Ozone","Red Hills","06-079-8005","AQS","64","0","45","63","34"
"01/19/2014","66","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","61","0","47","66","35"
