"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25"
"01/01/2015","57","PM10","Olancha","06-027-0021","AQS","36","0","57","20"
"01/02/2015","32","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","32","0","11","20"
"01/03/2015","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","31","0","11","27"
"01/04/2015","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","29","0","13","24"
"01/05/2015","30","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","30","0","13","22"
"01/06/2015","29","PM10","Keeler","06-027-1003","AQS","26","0","29","21"
"01/07/2015","26","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","26","0","8","25"
"01/08/2015","27","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","27","0","12","17"
"01/09/2015","29","PM2.5","Keeler","06-027-1003","AQS","23","0","11","29"
"01/10/2015","30","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","30","0","9","24"
"01/11/2015","33","PM2.5","Keeler","06-027-1003","AQS","29","0","10","33"
"01/12/2015","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","33","0","9","30"
"01/13/2015","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","34","0","33","31"
"01/14/2015","33","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","33","0","9","15"
"01/15/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","6","16"
"01/16/2015","30","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","30","0","11","16"
"01/17/2015","29","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","29","0","19","14"
"01/18/2015","28","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","28","0","11","16"
"01/19/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","8","15"
"01/20/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","10","23"
"01/21/2015","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","39","0","19","12"
"01/22/2015","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","36","0","8","14"
"01/23/2015","131","PM10","Mill Site","06-027-0030","AQS","35","0","131","52"
"01/24/2015","54","PM10","Olancha","06-027-0021","AQS","38","0","54","18"
"01/25/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","9","8"
"01/26/2015","71","PM10","North Beach","06-027-0029","AQS","34","0","71","14"
"01/27/2015","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","31","0","6","13"
"01/28/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","5","15"
"01/29/2015","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","29","0","6","16"
"01/30/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","9","18"
"01/31/2015","67","PM10","Olancha","06-027-0021","AQS","34","0","67","40"
"02/01/2015","36","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","36","0","6","11"
"02/02/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","19","13"
"02/03/2015","30","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","30","0","9","15"
"02/04/2015","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","29","0","21","14"
"02/05/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","20","19"
"02/06/2015","189","PM10","Shell Cut","06-027-0025","AQS","36","0","189","27"
"02/07/2015","154","PM10","Shell Cut","06-027-0025","AQS","34","0","154","25"
"02/08/2015","29","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","29","0","14","19"
"02/09/2015","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","40","0","8","13"
"02/10/2015","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","43","0","15","7"
"02/11/2015","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","40","0","16","8"
"02/12/2015","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","38","0","12","8"
"02/13/2015","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","35","0","12","15"
"02/14/2015","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","35","0","10","13"
"02/15/2015","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","38","0","9","10"
"02/16/2015","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","37","0","9","13"
