"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2015","92","PM2.5","Hanford-Irwin","06-031-1004","AQS","27","30","92","25"
"01/02/2015","86","PM2.5","Hanford-Irwin","06-031-1004","AQS","28","31","86","30"
"01/03/2015","101","PM2.5","Hanford-Irwin","06-031-1004","AQS","26","45","101","28"
"01/04/2015","133","PM2.5","Hanford-Irwin","06-031-1004","AQS","23","49","133","29"
"01/05/2015","140","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","53","140","35"
"01/06/2015","154","PM2.5","Hanford-Irwin","06-031-1004","AQS","27","62","154","35"
"01/07/2015","157","PM2.5","Hanford-Irwin","06-031-1004","AQS","32","65","157","32"
"01/08/2015","161","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","71","161","33"
"01/09/2015","174","PM2.5","Corcoran-Patterson","06-031-0004","AQS","26","85","174","26"
"01/10/2015","168","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","73","168","33"
"01/11/2015","163","PM2.5","Hanford-Irwin","06-031-1004","AQS","23","58","163","25"
"01/12/2015","129","PM2.5","Hanford-Irwin","06-031-1004","AQS","19","49","129","12"
"01/13/2015","152","PM2.5","Hanford-Irwin","06-031-1004","AQS","21","52","152","25"
"01/14/2015","104","PM2.5","Hanford-Irwin","06-031-1004","AQS","14","36","104","15"
"01/15/2015","82","PM2.5","Corcoran-Patterson","06-031-0004","AQS","15","23","82","9"
"01/16/2015","96","PM2.5","Hanford-Irwin","06-031-1004","AQS","19","35","96","17"
"01/17/2015","83","PM2.5","Hanford-Irwin","06-031-1004","AQS","12","28","83","11"
"01/18/2015","92","PM2.5","Corcoran-Patterson","06-031-0004","AQS","12","27","92","7"
"01/19/2015","72","PM2.5","Hanford-Irwin","06-031-1004","AQS","11","25","72","8"
"01/20/2015","63","PM2.5","Hanford-Irwin","06-031-1004","AQS","9","6","63","10"
"01/21/2015","46","PM2.5","Hanford-Irwin","06-031-1004","AQS","15","7","46","8"
"01/22/2015","77","PM2.5","Hanford-Irwin","06-031-1004","AQS","15","19","77","15"
"01/23/2015","78","PM2.5","Hanford-Irwin","06-031-1004","AQS","11","21","78","10"
"01/24/2015","83","PM2.5","Hanford-Irwin","06-031-1004","AQS","14","23","83","7"
"01/25/2015","12","PM10","Corcoran-Patterson","06-031-0004","AQS","10","12",".","10"
"01/26/2015","21","PM10","Hanford-Irwin","06-031-1004","AQS","7","21",".","18"
"01/27/2015","59","PM2.5","Corcoran-Patterson","06-031-0004","AQS","23","16","59","25"
"01/28/2015","23","PM10","Corcoran-Patterson","06-031-0004","AQS","16","23",".","22"
"01/29/2015","24","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","24","21",".","21"
"01/30/2015","97","PM2.5","Corcoran-Patterson","06-031-0004","AQS","28","31","97","16"
"01/31/2015","33","PM10","Hanford-Irwin","06-031-1004","AQS","29","33",".","23"
"02/01/2015","33","Ozone","Hanford-Irwin","06-031-1004","AQS","33",".",".","24"
"02/02/2015","109","PM2.5","Corcoran-Patterson","06-031-0004","AQS","32",".","109","29"
"02/03/2015","153","PM2.5","Hanford-Irwin","06-031-1004","AQS","25","41","153","32"
"02/04/2015","99","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","44","99","30"
"02/05/2015","66","PM2.5","Corcoran-Patterson","06-031-0004","AQS","23","41","66","30"
"02/06/2015","50","PM2.5","Hanford-Irwin","06-031-1004","AQS","28","43","50","19"
"02/07/2015","18","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","8","18","10"
"02/08/2015","25","PM2.5","Hanford-Irwin","06-031-1004","AQS","19",".","25","7"
"02/09/2015","33","Ozone","Hanford-Irwin","06-031-1004","AQS","33","14","19","12"
"02/10/2015","46","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","17","46","18"
"02/11/2015","67","PM2.5","Hanford-Irwin","06-031-1004","AQS","27","22","67","23"
"02/12/2015","84","PM2.5","Hanford-Irwin","06-031-1004","AQS","37","28","84","39"
"02/13/2015","99","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","37","99","31"
"02/14/2015","104","PM2.5","Hanford-Irwin","06-031-1004","AQS","42","31","104","34"
"02/15/2015","104","PM2.5","Hanford-Irwin","06-031-1004","AQS","42","32","104","30"
"02/16/2015","82","PM2.5","Hanford-Irwin","06-031-1004","AQS","48","27","82","23"
"02/17/2015","78","PM2.5","Hanford-Irwin","06-031-1004","AQS","44","28","78","14"
"02/18/2015","86","PM2.5","Hanford-Irwin","06-031-1004","AQS","22",".","86","22"
"02/19/2015","84","PM2.5","Hanford-Irwin","06-031-1004","AQS","37","21","84","16"
"02/20/2015","71","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","16","71","8"
"02/21/2015","79","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","14","79","17"
"02/22/2015","62","PM2.5","Hanford-Irwin","06-031-1004","AQS","20","19","62","13"
"02/23/2015","29","Ozone","Hanford-Irwin","06-031-1004","AQS","29","12","23","9"
"02/24/2015","36","PM2.5","Hanford-Irwin","06-031-1004","AQS","34","19","36","24"
"02/25/2015","71","PM2.5","Hanford-Irwin","06-031-1004","AQS","42","30","71","31"
"02/26/2015","101","PM2.5","Hanford-Irwin","06-031-1004","AQS","46","43","101","21"
"02/27/2015","79","PM2.5","Hanford-Irwin","06-031-1004","AQS","42",".","79","21"
"02/28/2015","35","Ozone","Hanford-Irwin","06-031-1004","AQS","35","7","3","9"
"03/01/2015","37","Ozone","Hanford-Irwin","06-031-1004","AQS","37","9","22","12"
"03/02/2015","35","Ozone","Hanford-Irwin","06-031-1004","AQS","35","9","15","21"
"03/03/2015","39","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","17","39","27"
"03/04/2015","52","PM2.5","Hanford-Irwin","06-031-1004","AQS","38","23","52","31"
"03/05/2015","60","PM2.5","Hanford-Irwin","06-031-1004","AQS","43","27","60","27"
"03/06/2015","57","PM2.5","Hanford-Irwin","06-031-1004","AQS","48","25","57","29"
"03/07/2015","77","PM2.5","Hanford-Irwin","06-031-1004","AQS","48","41","77","34"
"03/08/2015","74","PM2.5","Hanford-Irwin","06-031-1004","AQS","67","30","74","21"
"03/09/2015","67","PM2.5","Hanford-Irwin","06-031-1004","AQS","64","40","67","36"
"03/10/2015","72","PM2.5","Hanford-Irwin","06-031-1004","AQS","61","47","72","30"
"03/11/2015","49","PM10","Santa Rosa Rancheria","06-031-0500","AQS","33","49","48","18"
"03/12/2015","54","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","32","54","28"
"03/13/2015","49","Ozone","Hanford-Irwin","06-031-1004","AQS","49","48",".","34"
"03/14/2015","77","Ozone","Hanford-Irwin","06-031-1004","AQS","77","52",".","32"
"03/15/2015","67","Ozone","Hanford-Irwin","06-031-1004","AQS","67","41",".","21"
"03/16/2015","41","Ozone","Hanford-Irwin","06-031-1004","AQS","41","30",".","22"
"03/17/2015","56","PM2.5","Hanford-Irwin","06-031-1004","AQS","44","29","56","25"
"03/18/2015","45","Ozone","Hanford-Irwin","06-031-1004","AQS","45","29","27","20"
"03/19/2015","54","Ozone","Hanford-Irwin","06-031-1004","AQS","54","35","41","25"
"03/20/2015","77","Ozone","Hanford-Irwin","06-031-1004","AQS","77","46","63","24"
"03/21/2015","47","Ozone","Hanford-Irwin","06-031-1004","AQS","47","32","40","17"
"03/22/2015","44","Ozone","Hanford-Irwin","06-031-1004","AQS","44","25","32","10"
"03/23/2015","43","Ozone","Hanford-Irwin","06-031-1004","AQS","43","27","18","9"
"03/24/2015","42","Ozone","Hanford-Irwin","06-031-1004","AQS","42","36","18","8"
"03/25/2015","42","Ozone","Hanford-Irwin","06-031-1004","AQS","42","26","36","12"
"03/26/2015","54","Ozone","Hanford-Irwin","06-031-1004","AQS","54","36","48","26"
"03/27/2015","64","Ozone","Hanford-Irwin","06-031-1004","AQS","64","45","55","20"
"03/28/2015","46","Ozone","Hanford-Irwin","06-031-1004","AQS","46","41","29","10"
"03/29/2015","58","Ozone","Hanford-Irwin","06-031-1004","AQS","58","27","35","19"
"03/30/2015","80","Ozone","Hanford-Irwin","06-031-1004","AQS","80","35","43","18"
"03/31/2015","72","PM10","Santa Rosa Rancheria","06-031-0500","AQS","50","72","34","6"
"04/01/2015","46","Ozone","Hanford-Irwin","06-031-1004","AQS","46","38","20","9"
"04/02/2015","50","PM10","Santa Rosa Rancheria","06-031-0500","AQS","48","50","27","9"
"04/03/2015","51","Ozone","Hanford-Irwin","06-031-1004","AQS","51","34","33","18"
"04/04/2015","74","Ozone","Hanford-Irwin","06-031-1004","AQS","74","30","43","8"
"04/05/2015","48","Ozone","Hanford-Irwin","06-031-1004","AQS","48","27","18","4"
"04/06/2015","48","Ozone","Hanford-Irwin","06-031-1004","AQS","48","18","18","11"
"04/07/2015","38","Ozone","Hanford-Irwin","06-031-1004","AQS","38","19","17","8"
"04/08/2015","48","Ozone","Hanford-Irwin","06-031-1004","AQS","48","10","27","14"
"04/09/2015","54","PM2.5","Hanford-Irwin","06-031-1004","AQS","44","19","54","26"
"04/10/2015","71","Ozone","Hanford-Irwin","06-031-1004","AQS","71","27","62","22"
"04/11/2015","46","Ozone","Hanford-Irwin","06-031-1004","AQS","46","25","29","8"
"04/12/2015","49","Ozone","Hanford-Irwin","06-031-1004","AQS","49","21","44","20"
"04/13/2015","77","Ozone","Hanford-Irwin","06-031-1004","AQS","77","47","54","23"
"04/14/2015","62","PM10","Santa Rosa Rancheria","06-031-0500","AQS","51","62","23","5"
"04/15/2015","48","Ozone","Hanford-Irwin","06-031-1004","AQS","48","31","27","21"
"04/16/2015","77","Ozone","Hanford-Irwin","06-031-1004","AQS","77","43","48","21"
"04/17/2015","108","Ozone","Hanford-Irwin","06-031-1004","AQS","108","49","56","21"
"04/18/2015","108","Ozone","Hanford-Irwin","06-031-1004","AQS","108","42","48","21"
"04/19/2015","105","Ozone","Hanford-Irwin","06-031-1004","AQS","105","33","50","19"
"04/20/2015","84","Ozone","Hanford-Irwin","06-031-1004","AQS","84","49","52","10"
"04/21/2015","58","Ozone","Hanford-Irwin","06-031-1004","AQS","58","40","47","12"
"04/22/2015","49","PM2.5","Hanford-Irwin","06-031-1004","AQS","47","37","49","8"
"04/23/2015","64","Ozone","Hanford-Irwin","06-031-1004","AQS","64","44","53","16"
"04/24/2015","51","Ozone","Hanford-Irwin","06-031-1004","AQS","51","41","33","8"
"04/25/2015","40","Ozone","Hanford-Irwin","06-031-1004","AQS","40","12","29","8"
