"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2015","149","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","16","39","0","65","149","34"
"01/02/2015","116","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","16","42","1","79","116","36"
"01/03/2015","153","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","14","40","1","67","153","41"
"01/04/2015","139","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","16","41","0","61","139","36"
"01/05/2015","44","PM10","Torres Martinez Administration Site","06-065-1999","AQS","9","39","0","44","29","35"
"01/06/2015","46","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","13","37","0","38","46","40"
"01/07/2015","62","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","17","33","1","57","62","38"
"01/08/2015","111","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","17","38","1","52","111","38"
"01/09/2015","110","PM2.5","Rubidoux","06-065-8001","AQS","15","44","1","64","110","40"
"01/10/2015","137","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","19","50","1","61","137","37"
"01/11/2015","116","PM2.5","Rubidoux","06-065-8001","AQS","11","38","0","41","116","25"
"01/12/2015","86","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","10","35","0","31","86","26"
"01/13/2015","60","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","10","43","0","22","60","23"
"01/14/2015","111","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","3","35","0","19","111","33"
"01/15/2015","51","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","7","37","0","29","51","34"
"01/16/2015","60","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","13","38","1","48","60","42"
"01/17/2015","81","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","14","42","0","48","81","40"
"01/18/2015","120","PM2.5","Rubidoux","06-065-8001","AQS","15","40","0","53","120","40"
"01/19/2015","126","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","14","43","1","62","126","44"
"01/20/2015","154","PM2.5","Rubidoux","06-065-8001","AQS","14","41","1","71","154","44"
"01/21/2015","78","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","9","41","0","46","78","29"
"01/22/2015","85","PM2.5","Rubidoux","06-065-8001","AQS","6","44","0","34","85","40"
"01/23/2015","41","Ozone","Morongo Air Monitoring Station","06-065-1016","AQS","8","41","1","39","32","37"
"01/24/2015","52","PM10","Mira Loma (Van Buren)","06-065-8005","AQS","3","43","0","52","33","31"
"01/25/2015","38","Ozone","Palm Springs","06-065-5001","AQS","7","38","0","19","23","32"
"01/26/2015","41","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","8","37","0","29","41","36"
"01/27/2015","68","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","7","37","0","18","68","29"
"01/28/2015","46","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","8","37","0","19","46","32"
"01/29/2015","34","Ozone","Morongo Air Monitoring Station","06-065-1016","AQS","3","34","0","19","28","26"
"01/30/2015","48","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","6","34","0","19","48","30"
"01/31/2015","43","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","9","37","0","15","43","21"
"02/01/2015","63","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","9","40","0","31","63","35"
"02/02/2015","72","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","11","41","1","43","72","44"
"02/03/2015","112","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","13","48","1","59","112","45"
"02/04/2015","150","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","13","48","1","69","150","49"
"02/05/2015","135","PM2.5","Rubidoux","06-065-8001","AQS","14","54","1","64","135","66"
"02/06/2015","126","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","13","46","1","64","126","51"
"02/07/2015","96","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","11","41","0","51","96","39"
"02/08/2015","79","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","7","41","0","37","79","21"
"02/09/2015","88","PM2.5","Pechanga","06-065-0009","AQS","7","46","1","32","88","30"
"02/10/2015","46","Ozone","Temecula","06-065-0016","AQS","9","46","1","38","45","38"
"02/11/2015","45","Ozone","Temecula","06-065-0016","AQS","3","45","0","35","32","32"
"02/12/2015","46","Ozone","Morongo Air Monitoring Station","06-065-1016","AQS","6","46","1","33","27","42"
"02/13/2015","51","PM10","Mira Loma (Van Buren)","06-065-8005","AQS","8","48","1","51","42","44"
"02/14/2015","55","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","10","50",".","46","55","39"
"02/15/2015","93","Ozone","Lake Elsinore","06-065-9001","AQS","9","93","0","53","70","41"
"02/16/2015","87","Ozone","Lake Elsinore","06-065-9001","AQS","14","87","1","56","78","40"
"02/17/2015","124","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","6","64",".","59","124","42"
"02/18/2015","112","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","9","54",".","61","112","38"
"02/19/2015","137","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","11","58","0","67","137","41"
"02/20/2015","129","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","7","67","0","60","129","26"
"02/21/2015","126","PM2.5","Rubidoux","06-065-8001","AQS","7","77","0","98","126","27"
"02/22/2015","92","PM10","Torres Martinez Administration Site","06-065-1999","AQS","3","48","0","92","51","21"
"02/23/2015","44","Ozone","Palm Springs","06-065-5001","AQS","8","44","0","15","27","32"
"02/24/2015","61","PM10","","06-065-2005","AQS","8","45","0","61","55","34"
"02/25/2015","58","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","8","51","1","34","58","36"
"02/26/2015","80","Ozone","Palm Springs","06-065-5001","AQS","9","80","1","47","66","35"
"02/27/2015","67","Ozone","Joshua Tree NP - Pinto Wells","06-065-1004","AQS","7","67","0","66","66","30"
"02/28/2015","158","PM10","Torres Martinez Administration Site","06-065-1999","AQS","3","47","0","158","30","21"
"03/01/2015","40","Ozone","Joshua Tree NP - Pinto Wells","06-065-1004","AQS","5","40","0","8","29","16"
"03/02/2015","44","Ozone","Joshua Tree NP - Pinto Wells","06-065-1004","AQS","3","44","0","11","25","25"
"03/03/2015","47","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","7","46","0","16","47","30"
"03/04/2015","51","Ozone","Palm Springs","06-065-5001","AQS","6","51","0","21","39","41"
"03/05/2015","50","Ozone","Palm Springs","06-065-5001","AQS","7","50","0","24","31","39"
"03/06/2015","50","Ozone","Palm Springs","06-065-5001","AQS","6","50","0","24","21","40"
"03/07/2015","61","Ozone","Palm Springs","06-065-5001","AQS","6","61","0","32","52","42"
"03/08/2015","77","Ozone","Palm Springs","06-065-5001","AQS","10","77","0","43","65","36"
"03/09/2015","82","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","10","61","0","54","82","38"
"03/10/2015","74","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","13","71","1","52","74","49"
"03/11/2015","89","PM2.5","Mira Loma (Van Buren)","06-065-8005","AQS","10","58","1","61","89","44"
"03/12/2015","58","Ozone","Joshua Tree NP - Pinto Wells","06-065-1004","AQS","7","58","0","40","44","39"
