"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2016","21","Ozone","Jackson-Clinton Road","06-005-0002","AQS","21","."
"01/02/2016","20","Ozone","Jackson-Clinton Road","06-005-0002","AQS","20","."
"01/03/2016","25","Ozone","Jackson-Clinton Road","06-005-0002","AQS","25","."
"01/04/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"01/05/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"01/06/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"01/07/2016","30","Ozone","Jackson-Clinton Road","06-005-0002","AQS","30","."
"01/08/2016","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/09/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"01/10/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"01/11/2016","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/12/2016","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"01/13/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"01/14/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"01/15/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"01/16/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"01/17/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"01/18/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"01/19/2016","32","Ozone","Jackson-Clinton Road","06-005-0002","AQS","32","."
"01/20/2016","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"01/21/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"01/22/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"01/23/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"01/24/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"01/25/2016","23","Ozone","Jackson-Clinton Road","06-005-0002","AQS","23","."
"01/26/2016","23","Ozone","Jackson-Clinton Road","06-005-0002","AQS","23","."
"01/27/2016","20","Ozone","Jackson-Clinton Road","06-005-0002","AQS","20","."
"01/28/2016","20","Ozone","Jackson-Clinton Road","06-005-0002","AQS","20","."
"01/29/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"01/30/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"01/31/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/01/2016","32","Ozone","Jackson-Clinton Road","06-005-0002","AQS","32","."
"02/02/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/03/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"02/04/2016","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"02/05/2016","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"02/06/2016","26","Ozone","Jackson-Clinton Road","06-005-0002","AQS","26","."
"02/07/2016","27","Ozone","Jackson-Clinton Road","06-005-0002","AQS","27","."
"02/08/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"02/09/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"02/10/2016","25","Ozone","Jackson-Clinton Road","06-005-0002","AQS","25","."
"02/11/2016","27","Ozone","Jackson-Clinton Road","06-005-0002","AQS","27","."
"02/12/2016","32","Ozone","Jackson-Clinton Road","06-005-0002","AQS","32","."
"02/13/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/14/2016","26","Ozone","Jackson-Clinton Road","06-005-0002","AQS","26","."
"02/15/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/16/2016","30","Ozone","Jackson-Clinton Road","06-005-0002","AQS","30","."
"02/17/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"02/18/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"02/19/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"02/20/2016","30","Ozone","Jackson-Clinton Road","06-005-0002","AQS","30","."
"02/21/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/22/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/23/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"02/24/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"02/25/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"02/26/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"02/27/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/28/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"02/29/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"03/01/2016","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"03/02/2016","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"03/03/2016","30","Ozone","Jackson-Clinton Road","06-005-0002","AQS","30","."
"03/04/2016","26","Ozone","Jackson-Clinton Road","06-005-0002","AQS","26","."
"03/05/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/06/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"03/07/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/08/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"03/09/2016","27","Ozone","Jackson-Clinton Road","06-005-0002","AQS","27","."
"03/10/2016","25","Ozone","Jackson-Clinton Road","06-005-0002","AQS","25","."
"03/11/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"03/12/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"03/13/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"03/14/2016","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"03/15/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"03/16/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"03/17/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"03/18/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/19/2016","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"03/20/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"03/21/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/22/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"03/23/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"03/24/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"03/25/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/26/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"03/27/2016","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"03/28/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"03/29/2016","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"03/30/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/31/2016","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"04/01/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/02/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"04/03/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/04/2016","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/05/2016","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/06/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"04/07/2016","54","Ozone","Jackson-Clinton Road","06-005-0002","AQS","54","."
"04/08/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"04/09/2016","27","Ozone","Jackson-Clinton Road","06-005-0002","AQS","27","."
"04/10/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"04/11/2016","30","Ozone","Jackson-Clinton Road","06-005-0002","AQS","30","."
"04/12/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"04/13/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/14/2016","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"04/15/2016","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"04/16/2016","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/17/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"04/18/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"04/19/2016","54","Ozone","Jackson-Clinton Road","06-005-0002","AQS","54","."
"04/20/2016","58","Ozone","Jackson-Clinton Road","06-005-0002","AQS","58","."
"04/21/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/22/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"04/23/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/24/2016","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/25/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/26/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/27/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/28/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/29/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/30/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"05/01/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"05/02/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"05/03/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"05/04/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"05/05/2016","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
