"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"01/01/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","10","20"
"01/02/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42","0","25","14"
"01/03/2017","52","PM10","Dirty Socks","06-027-0022","AQS","1","38","0","52","15"
"01/04/2017","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","34",".","9","16"
"01/05/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","24","14"
"01/06/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44","0","13","15"
"01/07/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37","0","11","16"
"01/08/2017","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38","0","5","19"
"01/09/2017","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","39","0","26","7"
"01/10/2017","78","PM10","Olancha","06-027-0021","AQS","1","37","0","78","13"
"01/11/2017","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","42","0","13","9"
"01/12/2017","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","39","0","11","14"
"01/13/2017","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","34","0","17","18"
"01/14/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","4","15"
"01/15/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","5","15"
"01/16/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","20","22"
"01/17/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","10","13"
"01/18/2017","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38","0","29","25"
"01/19/2017","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","41","0","6","13"
"01/20/2017","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","38","0","3","13"
"01/21/2017","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","41","0","5","14"
"01/22/2017","16","Ozone","Bishop Tribe EMO","06-027-1023","AQS","1","16",".","4","."
"01/23/2017","10","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","10",".","3","10"
"01/24/2017","11","PM2.5","Keeler","06-027-1003","AQS",".","7",".","7","11"
"01/25/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41",".","10","11"
"01/26/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","16","20"
"01/27/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42","0","25","19"
"01/28/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","6","14"
"01/29/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","5","13"
"01/30/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","11","16"
"01/31/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","8","21"
"02/01/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","10","22"
"02/02/2017","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","45",".","13","17"
"02/03/2017","43","PM10","Dirty Socks","06-027-0022","AQS","2","40","0","43","13"
"02/04/2017","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","39","0","5","10"
"02/05/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37","0","14","15"
"02/06/2017","94","PM10","Shell Cut","06-027-0025","AQS","1","41","0","94","8"
"02/07/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37",".","29","18"
"02/08/2017","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","29","0","5","12"
"02/09/2017","86","PM10","Lizard Tail","06-027-0028","AQS","1","32","0","86","13"
"02/10/2017","92","PM10","Dirty Socks","06-027-0022","AQS","1","39","0","92","12"
"02/11/2017","68","PM10","Keeler","06-027-1003","AQS","1","40","0","68","59"
"02/12/2017","53","PM10","Olancha","06-027-0021","AQS","1","40","0","53","45"
"02/13/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","8","12"
"02/14/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42","0","18","13"
"02/15/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","13","13"
"02/16/2017","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","45","0","28","14"
"02/17/2017","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","43","0","5","10"
"02/18/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","4","8"
"02/19/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","38","0","5","15"
"02/20/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","11","14"
"02/21/2017","59","PM10","Dirty Socks","06-027-0022","AQS","1","44","0","59","11"
"02/22/2017","46","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","46","0","42","44"
"02/23/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44","0","6","13"
