"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2018","87","PM2.5","Oakland West","06-001-0011","AQS","15","34","1","87","32"
"01/02/2018","95","PM2.5","Oakland West","06-001-0011","AQS","22","38","3","95","45"
"01/03/2018","110","PM2.5","Livermore","06-001-0007","AQS","17","36","1","110","46"
"01/04/2018","79","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","16","26","1","79","34"
"01/05/2018","35","PM2.5","Laney College","06-001-0012","AQS","10","29","0","35","32"
"01/06/2018","51","PM2.5","Laney College","06-001-0012","AQS","14","30","0","51","26"
"01/07/2018","65","PM2.5","Laney College","06-001-0012","AQS","17","22","1","65","22"
"01/08/2018","52","PM2.5","Oakland West","06-001-0011","AQS","14","19","0","52","29"
"01/09/2018","31","PM2.5","Laney College","06-001-0012","AQS","8","30","0","31","23"
"01/10/2018","44","PM2.5","Laney College","06-001-0012","AQS","8","28","0","44","36"
"01/11/2018","61","PM2.5","Laney College","06-001-0012","AQS","10","24",".","61","32"
"01/12/2018","59","PM2.5","Oakland West","06-001-0011","AQS","13","28","3","59","29"
"01/13/2018","61","PM2.5","Oakland West","06-001-0011","AQS","15","25","1","61","22"
"01/14/2018","83","PM2.5","Laney College","06-001-0012","AQS","9","19","1","83","22"
"01/15/2018","84","PM2.5","Oakland West","06-001-0011","AQS","9","19","3","84","28"
"01/16/2018","70","PM2.5","Oakland West","06-001-0011","AQS","9","19",".","70","29"
"01/17/2018","81","PM2.5","Oakland West","06-001-0011","AQS","9","16",".","81","26"
"01/18/2018","67","PM2.5","Oakland West","06-001-0011","AQS","8","33","1","67","29"
"01/19/2018","34","PM2.5","Laney College","06-001-0012","AQS","11","33","0","34","33"
"01/20/2018","45","PM2.5","Oakland West","06-001-0011","AQS","8","29","1","45","28"
"01/21/2018","53","PM2.5","Laney College","06-001-0012","AQS","13","34","0","53","24"
"01/22/2018","46","PM2.5","Laney College","06-001-0012","AQS","6","32","0","46","25"
"01/23/2018","51","PM2.5","Laney College","06-001-0012","AQS","11","26","3","51","29"
"01/24/2018","53","PM2.5","Oakland West","06-001-0011","AQS","14","35","1","53","28"
"01/25/2018","37","PM2.5","Oakland West","06-001-0011","AQS","6","33","1","37","34"
"01/26/2018","53","PM2.5","Oakland West","06-001-0011","AQS","9","30","3","53","36"
"01/27/2018","45","PM2.5","Oakland West","06-001-0011","AQS","10","31","1","45","28"
"01/28/2018","43","PM2.5","Oakland West","06-001-0011","AQS","9","31","1","43","29"
"01/29/2018","76","PM2.5","Laney College","06-001-0012","AQS","11","30","9","76","40"
"01/30/2018","62","PM2.5","Laney College","06-001-0012","AQS","16","21","4","62","36"
"01/31/2018","61","PM2.5","Laney College","06-001-0012","AQS","15","33","4","61","42"
"02/01/2018","61","PM2.5","Laney College","06-001-0012","AQS","15","35","4","61","40"
"02/02/2018","63","PM2.5","Oakland West","06-001-0011","AQS","22","31","1","63","39"
"02/03/2018","59","PM2.5","Laney College","06-001-0012","AQS","15","36","1","59","35"
"02/04/2018","62","PM2.5","Laney College","06-001-0012","AQS","17","34","1","62","32"
"02/05/2018","63","PM2.5","Oakland West","06-001-0011","AQS","17","36","3","63","39"
"02/06/2018","52","PM2.5","Oakland West","06-001-0011","AQS","15","39","3","52","42"
"02/07/2018","66","PM2.5","Oakland West","06-001-0011","AQS","17","42","1","66","48"
"02/08/2018","95","PM2.5","Oakland West","06-001-0011","AQS","17","39","6","95","50"
"02/09/2018","60","PM2.5","Laney College","06-001-0012","AQS","13","33","3","60","45"
"02/10/2018","47","PM2.5","Oakland West","06-001-0011","AQS","10","40","0","47","25"
"02/11/2018","43","PM2.5","Oakland West","06-001-0011","AQS","8","39","0","43","29"
"02/12/2018","32","NO2","Laney College","06-001-0012","AQS","7","31","0","30","32"
"02/13/2018","39","NO2","Oakland West","06-001-0011","AQS","9","32","1","36","39"
"02/14/2018","49","PM2.5","Oakland West","06-001-0011","AQS","17","35","11","49","47"
"02/15/2018","46","PM2.5","Oakland West","06-001-0011","AQS","10","36","3","46","37"
"02/16/2018","73","PM2.5","Oakland West","06-001-0011","AQS","17","34","1","73","43"
"02/17/2018","56","PM2.5","Oakland West","06-001-0011","AQS","14","35","4","56","30"
"02/18/2018","43","PM2.5","Oakland West","06-001-0011","AQS","6","39","0","43","15"
